nomor_pendaftaran,JK,bidikmisi,Sekolah,Kabupaten,Provinsi,Pilihan 1,Pilihan 2,Ranking Sekolah,Nilai Mapel UN,Lulus pada Prodi,Lulus Pilihan,X1,X2,X3,X4,X5,X6,X7,X8,X9,XT,IP Sem 1,IP Sem 2,Predikat Semester 1,Predikat Semester 2
4180382265,P,Reguler,SMAS MUTIARA BARU,Kota Bekasi,Jawa Barat,KESEHATAN MASYARAKAT,Tidak Memilih,60,82.11,Tidak Lulus,Tidak Lulus,10.3,10.3,1,0,10.3,10.3,10.3,10.3,7.5,70.1,,,,
4180382434,L,Bidik Misi,SMAS TAMAN HARAPAN 2,Kota Bekasi,Jawa Barat,TEKNIK INFORMATIKA,TEKNIK ELEKTRO ,72,86.07,Tidak Lulus,Tidak Lulus,10.9,10.8,1,0,10.8,10.8,10.8,10.8,7.5,73.2,,,,
4180382855,P,Bidik Misi,MAN CIREBON 1,Kota Cirebon,Jawa Barat,MANAJEMEN,Tidak Memilih,213,83,Tidak Lulus,Tidak Lulus,10.5,10.4,1,0,10.4,10.4,10.4,10.4,7.5,70.9,,,,
4180382876,P,Reguler,MAN CIAWIGEBANG,Kab Kuningan,Jawa Barat,MANAJEMEN,Tidak Memilih,113,80.38,Tidak Lulus,Tidak Lulus,10.2,10,1,0,10,10,10,10,7.5,68.9,,,,
4180383534,L,Reguler,MAN CIPASUNG,Kab Tasikmalaya,Jawa Barat,MANAJEMEN,Tidak Memilih,160,83.55,Tidak Lulus,Tidak Lulus,10.7,10.4,1,0,10.4,10.4,10.4,10.4,10.6,74.5,,,,
4180383552,P,Bidik Misi,SMAS TAMAN HARAPAN 1,Kota Bekasi,Jawa Barat,EKONOMI SYARIAH,MANAJEMEN,98,83.98,Tidak Lulus,Tidak Lulus,10.6,10.5,1,0,10.5,10.5,10.5,10.5,7.5,71.6,,,,
4180383607,P,Bidik Misi,SMAN JATINUNGGAL,Kab Sumedang,Jawa Barat,EKONOMI SYARIAH,MANAJEMEN,138,83.78,Tidak Lulus,Tidak Lulus,10.6,10.5,1,0,10.5,10.5,10.5,10.5,7.5,71.5,,,,
4180383956,L,Reguler,SMKS KESEHATAN KH ILYAS RUHIYAT,Kab Tasikmalaya,Jawa Barat,KESEHATAN MASYARAKAT,Tidak Memilih,34,85.78,KESEHATAN MASYARAKAT,pil_1,10.6,10.7,1,0,10.7,10.7,10.7,10.7,10.6,75.8,3.29,2.95,,
4180384526,P,Bidik Misi,MAN TASIKMALAYA,Kota Tasikmalaya,Jawa Barat,MANAJEMEN,PENDIDIKAN GEOGRAFI,121,80.64,Tidak Lulus,Tidak Lulus,10.2,10.1,1,0,10.1,10.1,10.1,10.1,11.3,72.9,,,,
4180384808,P,Reguler,SMKN 1 GARUT,Kab Garut,Jawa Barat,MANAJEMEN,AKUNTANSI,63,82.62,Tidak Lulus,Tidak Lulus,10.2,10.3,1,0,10.3,10.3,10.3,10.3,9.4,72.2,,,,
4180384846,P,Reguler,SMAN 10 TASIKMALAYA,Kota Tasikmalaya,Jawa Barat,AKUNTANSI,EKONOMI PEMBANGUNAN,104,83.92,Tidak Lulus,Tidak Lulus,10.6,10.5,1,0,10.5,10.5,10.5,10.5,11.3,75.3,,,,
4180384866,P,Bidik Misi,MAN TASIKMALAYA,Kota Tasikmalaya,Jawa Barat,MANAJEMEN,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,121,82.1,Tidak Lulus,Tidak Lulus,10.4,10.3,1,0,10.3,10.3,10.3,10.3,11.3,74,,,,
